Week,Election
1,32250
2,33390
3,60090
4,59900
5,54030
6,61000
7,57050
8,55340
9,52280
10,61260
11,59730
12,58980
13,57340
14,55830
15,58100
16,56450
17,56180
18,54540
19,55610
20,53850
21,53180
22,51620
23,42540
24,51710
25,49000
26,47940
27,40850
28,38670
29,47600
30,48360
31,48720
32,48420
33,56340
34,46170
35,47060
36,47650
37,38590
38,48700
39,47090
40,47880
41,46430
42,45190
43,38910
44,45450
45,43870
46,42680
47,41180
48,44520
49,29550
50,41540
51,43040
52,41820
1,3650
2,49550
3,66070
4,57540
5,48220
6,60930
7,60190
8,56590
9,54660
10,60630
11,60030
12,59650
13,57130
14,58860
15,56430
16,53360
17,55780
18,53910
19,54140
20,52580
21,51250
22,49940
23,40950
24,50550
25,48560
26,48550
27,48500
28,38020
29,45360
30,46640
31,46490
32,46480
33,45230
34,45830
35,46870
36,38260
37,34610
38,53990
39,48720
40,47770
41,48010
42,40570
43,47160
44,47030
45,41390
46,43050
47,40640
48,34760
49,38530
50,42260
51,36200
52,85450
1,74970
2,52380
3,72360
4,64180
5,54560
6,73690
7,61490
8,66660
9,65810
10,65960
11,63790
12,65220
13,60090
14,64190
15,61690
16,61500
17,62170
18,61440
19,59500
20,57070
21,62620
22,46720
23,60300
24,56680
25,54690
26,34480
27,59880
28,55520
29,54100
30,55340
31,54730
32,55100
33,56420
34,56240
35,54440
36,45840
37,57790
38,58360
39,56780
40,54340
41,47140
42,54070
43,53780
44,51690
45,52620
46,51030
47,41550
48,50960
49,55440
50,56250
51,52430
52,22520
