Week,Non_Election,Election,Trumps_Re
1,39700,32250,30670
2,36760,33390,90570
3,63370,60090,78830
4,51890,59900,75030
5,61490,54030,84710
6,62740,61000,83080
7,61850,57050,81320
8,58210,55340,75170
9,52160,52280,81710
10,63370,61260,83980
11,61100,59730,78520
12,62730,58980,64680
13,62060,57340,53500
14,62360,55830,55080
15,59180,58100,58870
16,55230,56450,56540
17,54980,56180,62270
18,58300,54540,67430
19,58540,55610,69410
20,55170,53850,72050
21,54180,53180,75050
22,52860,51620,67160
23,40440,42540,74120
24,53850,51710,82590
25,53820,49000,87950
26,50590,47940,102790
27,50170,40850,113210
28,35420,38670,112090
29,51400,47600,122760
30,50100,48360,116460
31,49160,48720,117200
32,48690,48420,113860
33,49300,56340,111680
34,49110,46170,103870
35,50420,47060,101630
36,49680,47650,101390
37,37090,38590,79480
38,48760,48700,97190
39,48570,47090,95160
40,49980,47880,91070
41,49790,46430,87500
42,38030,45190,81770
43,45530,38910,91120
44,46220,45450,88400
45,45490,43870,80820
46,36070,42680,78710
47,51310,41180,83740
48,36160,44520,63870
49,43940,29550,
50,45050,41540,
51,46140,43040,
52,61240,41820,
1,41600,3650,
2,17650,49550,
3,74190,66070,
4,51080,57540,
5,61530,48220,
6,61720,60930,
7,57750,60190,
8,54360,56590,
9,46330,54660,
10,61830,60630,
11,66570,60030,
12,60140,59650,
13,59690,57130,
14,57650,58860,
15,56710,56430,
16,53670,53360,
17,55840,55780,
18,58000,53910,
19,56880,54140,
20,53970,52580,
21,53760,51250,
22,54470,49940,
23,41920,40950,
24,55170,50550,
25,51570,48560,
26,50900,48550,
27,51510,48500,
28,39030,38020,
29,49200,45360,
30,51460,46640,
31,48000,46490,
32,53660,46480,
33,49510,45230,
34,46750,45830,
35,48900,46870,
36,50570,38260,
37,34980,34610,
38,49890,53990,
39,61050,48720,
40,54690,47770,
41,54840,48010,
42,43330,40570,
43,51320,47160,
44,50520,47030,
45,49190,41390,
46,48200,43050,
47,42730,40640,
48,33840,34760,
49,46230,38530,
50,47420,42260,
51,47110,36200,
52,49990,85450,
1,32220,74970,
2,54770,52380,
3,53520,72360,
4,47570,64180,
5,53890,54560,
6,52790,73690,
7,51040,61490,
8,48790,66660,
9,53610,65810,
10,53050,65960,
11,53340,63790,
12,53490,65220,
13,53720,60090,
14,52570,64190,
15,49330,61690,
16,49970,61500,
17,51090,62170,
18,51490,61440,
19,49080,59500,
20,48960,57070,
21,48310,62620,
22,39590,46720,
23,48900,60300,
24,47860,56680,
25,47020,54690,
26,45450,34480,
27,38350,59880,
28,46970,55520,
29,45740,54100,
30,45280,55340,
31,45940,54730,
32,44560,55100,
33,43580,56420,
34,44690,56240,
35,46900,54440,
36,47120,45840,
37,36440,57790,
38,45400,58360,
39,46090,56780,
40,44470,54340,
41,46400,47140,
42,39950,54070,
43,46240,53780,
44,45490,51690,
45,44860,52620,
46,41300,51030,
47,43640,41550,
48,31520,50960,
49,42050,55440,
50,43960,56250,
51,43310,52430,
52,29930,22520,
1,29900,,
2,54390,,
3,51900,,
4,49380,,
5,58400,,
6,56330,,
7,49870,,
8,48480,,
9,54910,,
10,57080,,
11,56700,,
12,49570,,
13,56930,,
14,53000,,
15,50600,,
16,52660,,
17,52620,,
18,53780,,
19,51300,,
20,50660,,
21,50610,,
22,50510,,
23,39910,,
24,48390,,
25,46610,,
26,46110,,
27,45950,,
28,37500,,
29,46350,,
30,45830,,
31,45030,,
32,47010,,
33,44080,,
34,47000,,
35,48170,,
36,47660,,
37,37100,,
38,47240,,
39,48590,,
40,48100,,
41,46570,,
42,41710,,
43,49030,,
44,47610,,
45,45930,,
46,44280,,
47,47710,,
48,31470,,
49,44010,,
50,47430,,
51,36840,,
52,33230,,
1,29360,,
2,62050,,
3,58670,,
4,55900,,
5,61870,,
6,59170,,
7,57020,,
8,57210,,
9,54500,,
10,58870,,
11,57940,,
12,57400,,
13,57440,,
14,58660,,
