Week,Bush,Bush_Obama,Obama1,Obama_Obama,Obama2,Obama_Trump,Trump,Trump_
1,41600,32250,29360,3650,73230,74970,47850,30670
2,17650,33390,62050,49550,50240,52380,80350,90570
3,74190,60090,58670,66070,69250,72360,74400,78830
4,51080,59900,55900,57540,64460,64180,69960,75030
5,61530,54030,61870,48220,63490,54560,79950,84710
6,61720,61000,59170,60930,63010,73690,80150,83080
7,57750,57050,57020,60190,54680,61490,82580,81320
8,54360,55340,57210,56590,61900,66660,73170,75170
9,46330,52280,54500,54660,62400,65810,81750,81710
10,61830,61260,58870,60630,60760,65960,76940,83980
11,66570,59730,57940,60030,62460,63790,80240,78520
12,60140,58980,57400,59650,62700,65220,84940,64680
13,59690,57340,57440,57130,61920,60090,84330,53500
14,57650,55830,58660,58860,56280,64190,83140,55080
15,56710,58100,56540,56430,59400,61690,74950,58870
16,53670,56450,54650,53360,59430,61500,70790,56540
17,55840,56180,48130,55780,59200,62170,69540,62270
18,58000,54540,30870,53910,54710,61440,74730,67430
19,56880,55610,51400,54140,55920,59500,71030,69410
20,53970,53850,48780,52580,56450,57070,71350,72050
21,53760,53180,50450,51250,45440,62620,69590,75050
22,54470,51620,48540,49940,56610,46720,55510,67160
23,41920,42540,44040,40950,53540,60300,69300,74120
24,55170,51710,54440,50550,53490,56680,66220,82590
25,51570,49000,52910,48560,53810,54690,66730,87950
26,50900,47940,49610,48550,52570,34480,67190,102790
27,51510,40850,48980,48500,45890,59880,49790,113210
28,39030,38670,37890,38020,51030,55520,62740,112090
29,49200,47600,47620,45360,51810,54100,64220,122760
30,51460,48360,47970,46640,54220,55340,63230,116460
31,48000,48720,47760,46490,51600,54730,63970,117200
32,53660,48420,47370,46480,52590,55100,65040,113860
33,49510,56340,47020,45230,52110,56420,66110,111680
34,46750,46170,46330,45830,52560,56240,67340,103870
35,48900,47060,46810,46870,53170,54440,62710,101630
36,50570,47650,46530,38260,42870,45840,52380,101390
37,34980,38590,37350,34610,52360,57790,63990,79480
38,49890,48700,48560,53990,54310,58360,66960,97190
39,61050,47090,46930,48720,54040,56780,66000,95160
40,54690,47880,42410,47770,52930,54340,65090,91070
41,54840,46430,48230,48010,47330,47140,62990,87500
42,43330,45190,39980,40570,55480,54070,56890,81770
43,51320,38910,47070,47160,52990,53780,66070,91120
44,50520,45450,47290,47030,50490,51690,63810,88400
45,49190,43870,45580,41390,48700,52620,61860,80820
46,48200,42680,38730,43050,50630,51030,56740,78710
47,42730,41180,52010,40640,37290,41550,62950,83740
48,33840,44520,32520,34760,44420,50960,46450,63870
49,46230,29550,43680,38530,51120,55440,54690,
50,47420,41540,45820,42260,50740,56250,62560,
51,47110,43040,46250,36200,40210,52430,64350,
52,49990,41820,44410,85450,17080,22520,41950,
