naics2,description,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
11," Agriculture, Forestry, Fishing and Hunting",130,180,140,170,190,160,170,140,170,170,180,150,180,170,140,150,130,150,140,120,120,100,140,110,120,100,70,90,90,120,100,90,100,90,100,80,100,90,90,130,100,100,130,100,100,120,130,90,120,140,140,70,70,190,170,160,170,180,180,150,180,190,190,150,130,120,130,130,140,140,140,130,160,120,140,140,140,160,160,170,160,170,130,180,160,160,150,160,120,140,160,170
21," Mining, Quarrying, and Oil and Gas Extraction",50,100,90,80,80,90,90,90,80,100,110,100,90,80,90,70,80,90,60,90,80,60,80,70,90,90,50,70,60,70,60,80,70,60,50,70,60,70,70,60,70,60,70,70,70,60,70,40,60,70,60,40,30,70,90,70,80,70,80,60,80,70,70,50,60,40,40,40,50,50,40,50,50,50,40,50,80,70,60,60,70,40,50,60,50,50,50,60,60,60,70,60
22, Utilities,10,20,10,10,10,10,20,10,10,10,10,20,20,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
23, Construction,4700,8510,8170,7810,8720,8980,9690,8160,9510,8640,8990,9500,9610,8960,8080,7260,7490,7860,7470,7610,7500,5820,7140,7090,7070,7060,5070,6370,6680,6570,6540,6670,6980,7010,6340,5340,6590,6850,6780,6680,6700,5980,6920,6730,6610,5790,6410,4620,5300,6270,6420,3790,2750,8870,8070,7790,8910,9010,8680,8070,8770,9020,8410,7300,5540,5120,5160,4940,5310,5650,5770,6290,6310,5620,6520,7360,7740,8660,9230,8410,9570,9700,9930,9470,9610,9030,8930,9070,7050,8740,8410,8030
31-33, Manufacturing,700,1110,1010,910,1120,1000,1100,1020,1080,970,1080,1050,1060,1030,1010,950,910,950,930,900,870,730,900,810,890,790,630,790,820,830,910,790,900,860,790,680,790,890,790,870,860,720,870,820,810,750,790,630,690,850,880,520,430,1210,1030,970,1070,1030,960,970,1040,1110,1010,860,740,830,840,820,900,970,920,970,1070,860,980,1030,1020,1170,1270,1170,1330,1360,1360,1400,1350,1240,1250,1150,980,1170,1210,1140
42, Wholesale Trade,1000,1810,1640,1530,1630,1730,1820,1560,1780,1590,1700,1840,1710,1790,1670,1630,1500,1620,1590,1580,1550,1290,1610,1460,1510,1500,1170,1470,1400,1450,1330,1460,1480,1500,1360,1160,1410,1480,1430,1440,1410,1210,1450,1470,1370,1270,1390,990,1230,1370,1350,870,590,1800,1600,1510,1820,1730,1640,1570,1660,1800,1590,1400,1370,1460,1550,1580,1810,1830,2020,1930,2010,1750,2000,2030,2170,2480,2700,2640,2820,2750,2790,2760,2620,2410,2320,2310,1730,2180,2100,1950
44-45, Retail Trade,6770,11550,10390,10140,11010,11050,11210,10540,11670,11470,11240,12330,12260,12120,11180,10410,10450,11020,10290,10240,9850,8320,10300,9720,9640,9870,7350,9640,9640,9240,9370,9820,10070,10140,9660,7800,9610,9990,9960,9500,9430,8640,10120,9730,8810,8190,9010,6530,8080,8480,8510,5690,4380,13050,10910,10610,11480,11380,11240,10410,11440,12050,11070,8450,7450,8050,9120,9930,12070,13780,14380,14960,16290,15210,15310,17190,18170,21610,24240,25330,26920,24930,25140,23970,22890,21360,20280,20020,15750,18750,18820,18210
48-49, Transportation and Warehousing,3180,5300,4960,4410,5090,5150,5280,4830,5450,5080,5240,5520,5790,5620,5050,4860,4820,5020,5020,4950,4740,3730,4710,4460,4380,4560,3530,4440,4400,4270,4330,4520,4450,4640,4340,3670,4370,4530,4250,4290,4170,3760,4360,4160,4090,3860,4280,3100,3840,4430,4530,3270,2180,6400,5670,5140,5840,5720,5680,5220,5650,5710,5460,4440,3890,3840,4840,4010,4010,4360,4360,4430,4730,4370,4750,5290,5690,6730,7350,7390,8300,8280,8370,8410,8530,8030,8000,7910,6330,7810,7560,7320
51, Information,780,1280,1130,1160,1320,1320,1330,1140,1260,1200,1270,1340,1370,1320,1220,1110,1120,1220,1110,1110,1190,890,1160,1070,1070,1040,790,970,1060,1010,1000,1010,1030,1080,1030,860,940,1030,980,1100,960,920,1140,1030,970,910,960,760,860,940,1000,690,460,1440,1240,1210,1360,1370,1340,1260,1320,1290,1260,1070,890,940,1040,980,1050,1200,1180,1190,1240,1090,1230,1300,1420,1560,1840,1670,1880,1750,1720,1760,1750,1600,1550,1590,1270,1610,1480,1460
